"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","b_intent_walk","b_sac_fly","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Acuña, Luisangel",682668,2025,23,100,110,28,22,6,0,0,21,8,19.1,7.3,".280",".340",".336","0.676","0.060",".350","1","0","1",".264",".314",".306",".291",".325",".051",".341",".321",".350",".334","70.6",16,14.1,11,36.7,28.8,"7.3",2,"88.5","5.2",35,0,36.3,"99.483844737","93.826145526",21.1,49.5
"Story, Trevor",596115,2025,32,160,169,39,31,2,0,6,51,7,30.2,4.1,".244",".369",".284","0.653","0.125",".320","2","0","0",".243",".399",".291",".296",".283",".156",".392",".402",".358",".357","70.7",12,14.4,10.1,25.8,18.1,"7.3",7,"89.8","13",31.2,10.1,49.5,"102.59152963","95.762079167",28.9,55.6
"Bruján, Vidal",660644,2025,27,10,10,2,1,1,0,0,3,0,30,0,".200",".300",".200","0.500","0.100",".286","0","0","0",".147",".335",".217",".204",".147",".188",".310",".291",".286",".211","69.8",15.4,10,7.7,30,23.1,"6.8",0,"87.2","-6.1",42.9,0,57.1,"97.4550275","93.402872857",25,48.5
"Kim, Hyeseong",808975,2025,26,22,22,7,7,0,0,0,5,0,22.7,0,".318",".318",".318","0.636","0.000",".412","0","0","0",".288",".388",".284",".291",".288",".099",".368",".377",".412",".373","69.2",5.6,8,5.6,52,36.1,"7.5",1,"88.7","10.1",41.2,0,29.4,"96.380517778","92.556197059",32.5,50.6
"Rogers, Jake",668670,2025,30,18,22,4,3,0,1,0,5,4,22.7,18.2,".222",".333",".364","0.697","0.111",".308","0","0","0",".238",".380",".322",".344",".377",".142",".330",".367",".308",".330","70.3",7.1,4.5,3.6,18.2,14.3,"7.3",2,"79.8","20.6",61.5,15.4,23.1,"89.478827143","90.270839231",25,36
"Vázquez, Christian",543877,2025,34,53,61,9,5,4,0,0,12,7,19.7,11.5,".170",".245",".262","0.507","0.075",".214","0","0","1",".184",".253",".237",".248",".280",".069",".228",".244",".214",".240","67",3.2,8.9,7.4,39.2,33,"6.8",2,"88.8","12.3",35.7,2.4,31,"97.004788571","92.848046429",20.6,41.6
"Hicks, Liam",689414,2025,26,67,79,17,11,3,0,3,10,7,12.7,8.9,".254",".433",".338","0.771","0.179",".255","2","0","1",".268",".410",".341",".336",".351",".142",".343",".336",".293",".310","67.1",0,4.7,4,42.4,35.6,"6.8",3,"84.3","12.9",38.3,3.3,25,"95.016049643","91.528763214",17.6,42.2
"Arenado, Nolan",571448,2025,34,141,159,38,24,10,0,4,17,16,10.7,10.1,".270",".426",".352","0.778","0.156",".283","2","3","0",".259",".365",".340",".311",".345",".105",".343",".306",".306",".296","71.4",17.4,10.2,8.5,33.7,27.9,"8.5",7,"86.7","15.5",26.6,4,33.1,"97.334386885","92.769480744",20.6,46.9
"McCarthy, Jake",664983,2025,27,41,47,3,2,1,0,0,6,4,12.8,8.5,".073",".098",".170","0.268","0.025",".083","1","0","1",".173",".240",".140",".232",".260",".067",".085",".205",".083",".200","68.2",1.5,3.8,3,42.3,32.8,"7",0,"84.2","7.9",27.8,0,16.7,"93.374378333","90.763966",20.7,47.1
"Westburg, Jordan",676059,2025,26,92,98,20,13,2,1,4,22,5,22.4,5.1,".217",".391",".265","0.656","0.174",".242","1","0","0",".258",".462",".289",".330",".303",".204",".344",".402",".286",".339","70.5",8.7,16.8,12.8,34.5,26.2,"6.7",3,"88.6","13.9",25.7,12.9,40,"101.163520571","94.775730571",23.4,48.3
"Harris, Dustin",687957,2025,25,35,38,7,4,2,0,1,11,3,28.9,7.9,".200",".343",".263","0.606","0.143",".261","0","0","0",".208",".323",".271",".264",".271",".115",".342",".331",".292",".303","67",0,5.4,4.3,25,20.3,"7",3,"86.5","19.4",41.7,4.2,25,"96.2422775","92.12113875",22.2,51.3
"Urías, Ramón",602104,2025,31,72,82,21,17,2,0,2,16,8,19.5,9.8,".292",".403",".354","0.757","0.111",".339","0","0","2",".219",".333",".335",".292",".299",".114",".378",".316",".362",".285","70.4",10.5,11.5,8.9,31.3,24.2,"7.6",2,"87.4","10.4",24.1,8.6,37.9,"98.541316897","93.364450345",24.5,46.1
"Urshela, Gio",570482,2025,33,90,98,21,11,9,1,0,15,6,15.3,6.1,".233",".356",".281","0.637","0.123",".280","0","0","0",".276",".381",".282",".309",".321",".105",".305",".339",".280",".331","68.8",4.2,8.2,6,36.9,26.9,"7.3",4,"86.9","10.4",45.5,1.3,29.9,"96.98842","92.592146",27.3,55.9
"O'Hearn, Ryan",656811,2025,31,99,114,30,19,4,0,7,17,13,14.9,11.4,".303",".556",".395","0.951","0.253",".307","2","0","0",".300",".516",".414",".394",".392",".216",".447",".419",".366",".362","72.5",24.9,22,18.3,39.7,33.1,"7.3",6,"91.1","10.6",36.6,12.2,52.4,"100.899364146","95.242096707",20,41.5
"Narváez, Carlos",665966,2025,26,97,105,24,14,6,0,4,26,8,24.8,7.6,".247",".433",".305","0.738","0.186",".299","0","0","0",".236",".433",".324",".315",".294",".197",".401",".386",".338",".322","72",17.6,18.2,13.1,32.9,23.6,"7.6",3,"90.6","13.9",25.4,12.7,42.3,"102.707874722","95.836025634",27.7,52.6
"Renfroe, Hunter",592669,2025,33,84,92,14,11,3,0,0,19,7,20.7,7.6,".167",".202",".228","0.430","0.035",".212","0","0","1",".179",".269",".202",".232",".241",".091",".207",".249",".212",".230","74.5",43.5,13.7,10.7,30.4,23.7,"7.5",2,"87.9","16.6",21.2,4.5,34.8,"98.848378485","93.424189242",23.5,42.8
"Reynolds, Bryan",668804,2025,30,162,179,34,24,5,0,5,51,14,28.5,7.8,".210",".333",".274","0.607","0.123",".269","1","1","2",".262",".499",".270",".349",".322",".237",".338",".463",".301",".378","72.4",22.6,17.9,13.3,31.4,23.3,"6.9",13,"91.3","5.1",33.6,12.4,46.9,"102.60854625","95.839844911",29.5,48.6
"Reyes, Pablo",622569,2025,31,23,25,4,4,0,0,0,8,2,32,8,".174",".174",".240","0.414","0.000",".267","0","0","0",".156",".184",".199",".192",".223",".029",".238",".227",".267",".239","69.1",4.7,6.3,4.7,18.8,14,"7",2,"85.6","19.7",20,0,26.7,"93.61104","91.368345333",23.9,44.2
"Contreras, William",661388,2025,27,135,160,32,26,2,0,4,31,24,19.4,15,".237",".341",".350","0.691","0.104",".277","0","3","1",".229",".352",".311",".312",".348",".123",".325",".326",".305",".301","72.8",29.8,16.1,12.5,35.4,27.4,"7.1",5,"89.5","3.1",27.6,4.8,41.9,"101.619773269","94.959484808",25.7,44.9
"Marte, Noelvi",682622,2025,23,68,73,20,12,4,1,3,12,5,16.4,6.8,".294",".515",".342","0.857","0.221",".321","0","0","0",".242",".427",".372",".312",".294",".185",".423",".345",".357",".294","73.6",38.1,12.8,9.7,33.7,25.7,"7.2",7,"89.2","11.8",23.2,5.4,32.1,"99.905156786","94.185913636",27.3,55
"Martínez, Angel",682657,2025,23,89,93,27,20,5,1,1,15,2,16.1,2.2,".303",".416",".315","0.731","0.113",".351","0","0","1",".241",".339",".319",".264",".262",".098",".373",".305",".360",".295","70.4",9.3,13.6,11.1,35.6,29,"7.4",2,"88","14.2",26.3,2.6,34.2,"98.194433243","93.224057297",19.3,57.7
"Adell, Jo",666176,2025,26,108,113,21,12,4,0,5,33,4,29.2,3.5,".194",".370",".230","0.600","0.176",".229","1","0","0",".254",".487",".263",".330",".287",".233",".350",".451",".280",".366","77.1",67.5,16.6,12.3,26.5,19.7,"7.7",5,"89.9","13.5",32,14.7,45.3,"102.045587632","95.240534",29.4,54.6
"Montes, Coco",663796,2025,28,10,10,2,2,0,0,0,3,0,30,0,".200",".200",".200","0.400","0.000",".286","0","0","0",".266",".309",".179",".251",".266",".043",".255",".358",".286",".380","72.7",30,37.5,30,37.5,30,"7.7",1,"90.3","-3.5",28.6,0,42.9,"100.900335","95.37162",27.3,40.7
"Tena, José",677588,2025,24,64,68,15,11,3,1,0,18,4,26.5,5.9,".234",".313",".279","0.592","0.079",".326","0","0","0",".225",".319",".266",".262",".272",".094",".332",".330",".326",".318","70.7",16.1,10.8,8,34.9,25.9,"6.7",1,"88.8","-1.2",30.4,4.3,32.6,"98.677715909","93.603810682",26.4,47.3
"Swanson, Dansby",621020,2025,31,157,172,38,22,7,1,8,48,13,27.9,7.6,".242",".452",".298","0.750","0.210",".294","0","0","1",".261",".474",".327",".340",".317",".213",".426",".447",".345",".374","71.1",7.3,19.7,13.9,39.9,28.2,"7.4",8,"90.8","15.2",33.3,10.8,47.7,"101.403048727","95.177289633",31.5,46.3
"Bauers, Jake",641343,2025,29,49,57,13,8,2,0,3,20,8,35.1,14,".265",".490",".368","0.858","0.225",".385","0","0","0",".224",".466",".378",".347",".333",".242",".550",".489",".448",".379","74.3",48.7,21.6,14.1,35.3,23.1,"7.7",2,"91.6","25.2",41.4,17.2,48.3,"103.91278","96.487279643",37.1,41.2
"Lewis, Royce",668904,2025,26,18,19,2,2,0,0,0,2,1,10.5,5.3,".111",".111",".158","0.269","0.000",".125","0","0","0",".209",".242",".131",".223",".251",".033",".112",".222",".125",".235","72.7",33.3,17.4,13.3,34.8,26.7,"7.8",0,"86.1","7.5",18.8,0,37.5,"97.59459375","92.854970625",23.5,40.5
"Rodgers, Brendan",663898,2025,28,84,94,19,14,4,0,1,33,8,35.1,8.5,".226",".310",".298","0.608","0.084",".353","1","0","1",".244",".420",".277",".320",".315",".176",".379",".458",".365",".396","74",39.3,20.8,13.3,31.3,20,"7.3",1,"90.8","10.3",42.3,13.5,51.9,"102.413768077","95.655935769",36.1,46.2
"Gurriel Jr., Yuli",493329,2025,41,36,40,4,3,1,0,0,8,4,20,10,".111",".139",".200","0.339","0.028",".143","0","0","0",".128",".170",".169",".187",".217",".043",".141",".166",".143",".165","72.8",34.9,3.6,3.2,23.6,20.6,"7.9",2,"85.1","22.4",14.3,0,17.9,"94.735272857","91.508708519",18.6,47.3
"Giménez, Andrés",665926,2025,26,128,143,25,17,5,0,3,26,10,18.2,7,".195",".305",".273","0.578","0.110",".220","4","0","1",".255",".375",".264",".320",".332",".120",".270",".349",".243",".324","69.6",7.6,11.5,8.9,34.4,26.7,"7.1",1,"87.9","7",29.1,3.9,31.1,"97.95751102","93.052623265",22.5,49.3
"Crews, Dylan",686611,2025,23,137,147,25,17,2,1,5,41,7,27.9,4.8,".182",".321",".238","0.559","0.139",".220","3","0","0",".255",".459",".251",".331",".307",".204",".310",".435",".260",".367","73.2",34.8,17.5,12.7,34.4,24.9,"7.2",11,"90.3","7.6",30.2,13.5,41.7,"101.269627447","95.074423085",30.8,48.3
"Bliss, Ryan",669208,2025,25,35,39,7,5,1,0,1,11,4,28.2,10.3,".200",".314",".282","0.596","0.114",".261","0","0","0",".219",".425",".272",".316",".299",".206",".326",".397",".292",".320","70.1",3.4,22.9,13.8,42.9,25.9,"6.8",2,"89","10.2",37.5,12.5,33.3,"98.429506667","93.231437917",37.1,46.4
"Solano, Donovan",456781,2025,37,56,58,8,7,1,0,0,16,1,27.6,1.7,".143",".161",".155","0.316","0.018",".195","0","0","1",".170",".261",".142",".191",".182",".092",".184",".253",".195",".233","65.5",1.1,6.3,4.2,29.7,20,"7",4,"82","14.1",36.6,4.9,26.8,"94.488664762","91.437727561",33,54.5
"Edman, Tommy",669242,2025,30,111,122,28,15,4,1,8,18,6,14.8,4.9,".252",".523",".295","0.818","0.271",".227","2","0","3",".312",".574",".348",".399",".358",".262",".383",".449",".292",".372","69.9",12.4,19.7,16.5,40.8,34.1,"6.9",2,"90.2","15",41.7,10.4,47.9,"101.230189149","95.121064149",19.3,48
"Hill, Derek",656537,2025,29,42,48,7,4,2,0,1,17,3,35.4,6.3,".167",".286",".239","0.525","0.119",".250","1","0","0",".224",".360",".240",".289",".291",".136",".328",".419",".280",".376","72.3",20.7,9.8,6.5,23,15.2,"7.3",5,"88.6","-1.3",37,7.4,40.7,"101.471454167","94.735727083",36.4,53
"Margot, Manuel",622534,2025,30,19,20,6,6,0,0,0,6,0,30,0,".316",".316",".300","0.616","0.000",".429","0","0","1",".319",".362",".268",".303",".314",".043",".383",".432",".429",".448","71.1",11.8,4.3,2.9,21.7,14.7,"7",0,"79.5","10.1",42.9,0,14.3,"91.220212857","90.001579286",28.9,55.9
"Schneemann, Daniel",682177,2025,28,77,88,21,11,5,0,5,24,10,27.3,11.4,".273",".532",".356","0.888","0.259",".333","0","0","0",".258",".570",".386",".387",".343",".312",".502",".503",".396",".374","71.8",17.5,16.7,11.7,32.3,22.6,"7.1",5,"89.9","8.9",35.2,20.4,48.1,"101.666786296","95.405003585",29.8,45
"Greene, Riley",682985,2025,24,152,165,39,24,6,0,9,48,12,29.1,7.3,".257",".474",".315","0.789","0.217",".316","1","1","0",".249",".490",".343",".339",".308",".241",".460",".454",".375",".364","74.3",45,15.7,11.3,27.8,20.1,"7.1",2,"90.6","9.6",34.6,15.4,51,"102.645317308","95.798993077",28.5,51.2
"Frazier, Adam",624428,2025,33,113,125,26,21,3,0,2,20,9,16,7.2,".230",".310",".296","0.606","0.080",".261","2","1","1",".230",".292",".273",".262",".296",".062",".285",".271",".277",".277","65.6",2,1.1,1,33.7,28.9,"7",3,"84.7","15.6",31.9,0,18.1,"93.888479362","90.958750319",17,49
"Conforto, Michael",624424,2025,32,118,141,18,11,5,0,2,41,20,29.1,14.2,".153",".246",".291","0.537","0.093",".213","3","0","0",".214",".349",".259",".316",".342",".135",".264",".369",".234",".328","73.4",33.2,12.6,9.2,25.8,18.9,"7.4",4,"89.9","11",32.5,7.8,44.2,"100.138608718","94.454716883",28.5,41.3
"Wallner, Matt",670242,2025,27,57,67,15,7,5,2,1,19,9,28.4,13.4,".263",".474",".373","0.847","0.211",".378","1","0","0",".238",".441",".372",".351",".353",".203",".472",".437",".395",".360","76.5",69.2,18.5,10.3,30.8,17.1,"7.4",5,"89.6","17.9",28.9,10.5,47.4,"101.279297368","95.354957568",44.8,49.3
"Bichette, Bo",666182,2025,27,171,185,48,34,12,0,2,29,11,15.7,5.9,".281",".386",".330","0.716","0.105",".326","2","1","1",".314",".500",".317",".371",".363",".186",".348",".419",".336",".379","68.8",8.3,14.9,12,36.8,29.7,"7.2",6,"90.8","10.5",41.3,9.1,46.9,"101.51254","95.289297324",20.1,52.3
"Vargas, Miguel",678246,2025,25,135,154,29,19,8,0,2,30,17,19.5,11,".215",".319",".312","0.631","0.104",".262","2","0","0",".221",".343",".290",".297",".317",".122",".298",".309",".276",".285","70.7",10.7,12.1,9.9,34,27.8,"7.6",6,"89.6","21.1",33.3,4.8,38.1,"99.008128113","93.788605048",20.8,45.2
"Smith, Will",669257,2025,30,105,129,33,22,8,0,3,28,20,21.7,15.5,".314",".476",".419","0.895","0.162",".390","1","0","3",".273",".511",".394",".385",".386",".238",".451",".436",".412",".359","69.1",3.4,15,11.9,37.1,29.4,"7.1",9,"91.4","22.8",41.3,13.8,50,"100.8716975","94.796881",23.3,38.2
"Stephenson, Tyler",663886,2025,28,30,36,7,3,3,0,1,15,6,41.7,16.7,".233",".433",".361","0.794","0.200",".429","0","1","0",".223",".362",".345",".313",".352",".139",".572",".498",".467",".446","69.1",0,10.8,7.1,27,17.9,"7.5",4,"91.8","19.2",73.3,13.3,66.7,"99.70022375","95.203586667",37.5,39.3
"Judge, Aaron",592450,2025,33,154,180,63,36,11,2,14,38,24,21.1,13.3,".409",".779",".494","1.273","0.370",".480","2","6","0",".353",".785",".532",".503",".447",".432",".677",".633",".543",".469","76.6",68,25.3,18.4,34.3,25,"8.2",9,"95.9","15.8",38.8,25,57.8,"106.699545","98.620319224",30.1,45.3
"Beck, Jordan",687597,2025,24,99,109,27,14,4,3,6,32,8,29.4,7.3,".273",".556",".330","0.886","0.283",".339","0","0","1",".273",".578",".378",".389",".336",".305",".514",".533",".397",".407","73.6",41.2,18.9,12.8,30.7,20.9,"7.7",2,"91","13.9",48.5,19.1,45.6,"102.059959118","95.661140149",34.5,48.7
"McNeil, Jeff",643446,2025,33,39,44,9,5,0,2,2,7,4,15.9,9.1,".231",".487",".295","0.782","0.256",".226","0","1","1",".254",".381",".325",".300",".319",".128",".359",".328",".273",".304","71.2",14.1,6.3,5.9,16.5,15.3,"7.4",3,"83.6","14.3",36.4,6.1,24.2,"94.160195","91.744033438",10.2,56.3
"Lowe, Brandon",664040,2025,30,137,148,26,20,1,0,5,42,10,28.4,6.8,".190",".307",".243","0.550","0.117",".231","0","0","1",".251",".453",".247",".323",".300",".202",".308",".426",".271",".359","72.2",21.7,16.4,10.6,36.3,23.6,"7.1",8,"91.7","11.3",35.4,10.4,43.8,"101.753406875","95.271672292",38.4,53.6
"Ibáñez, Andy",628451,2025,32,59,67,15,11,2,0,2,5,5,7.5,7.5,".254",".390",".328","0.718","0.136",".245","2","0","1",".267",".454",".321",".348",".345",".186",".301",".333",".273",".290","69",1.9,12.6,10.6,48.3,40.4,"7.2",2,"90.4","10.2",30.9,5.5,40,"99.524259231","94.119381923",18.3,49.8
"Neto, Zach",687263,2025,24,82,88,22,13,5,0,4,25,4,28.4,4.5,".268",".476",".318","0.794","0.208",".340","2","0","0",".292",".582",".347",".391",".340",".290",".462",".529",".386",".420","72",17.9,19.3,14.6,36,27.2,"7",3,"94.4","19.2",54.4,12.3,50.9,"103.301438929","96.726769464",26,46
"Rojas, Miguel",500743,2025,36,56,58,15,12,2,0,1,9,2,15.5,3.4,".268",".357",".293","0.650","0.089",".304","0","0","0",".268",".344",".289",".280",".294",".076",".327",".316",".319",".321","66.6",3.4,8.2,6.8,39.7,33,"7",3,"86.7","4.8",36.2,2.1,27.7,"96.307555652","92.246084",18.9,50.5
"Perez, Salvador",521692,2025,35,150,161,36,21,13,0,2,33,8,20.5,5,".240",".367",".281","0.648","0.127",".293","1","0","1",".316",".571",".286",".392",".353",".255",".335",".478",".305",".402","72.8",26.8,17.9,13.4,30.7,22.9,"7.9",4,"90.6","17.9",41.5,15.3,46.6,"102.242503051","95.37660161",27.8,56.7
"Barrero, Jose",676480,2025,27,13,14,3,1,1,0,1,5,0,35.7,0,".231",".538",".286","0.824","0.307",".286","1","0","0",".167",".324",".356",".244",".226",".157",".531",".335",".375",".271","72.7",21.4,15,10.7,20,14.3,"7.2",1,"89.4","23.8",37.5,12.5,37.5,"99.9224075","93.96120375",32.3,52.5
"Maldonado, Martín",455117,2025,38,58,60,12,9,1,0,2,16,2,26.7,3.3,".207",".328",".233","0.561","0.121",".250","0","0","0",".247",".476",".248",".319",".273",".229",".321",".426",".286",".344","70.8",8.6,17,11.1,49.1,32.1,"7.5",4,"89.5","14.8",38.1,11.9,31,"98.1854765","93.269582564",37.2,48.2
"Adams, Riley",656180,2025,29,28,28,5,2,1,0,2,14,0,50,0,".179",".429",".179","0.608","0.250",".250","0","0","0",".243",".562",".258",".338",".243",".318",".516",".675",".357",".487","79.3",88.2,18.2,11.8,24.2,15.7,"8",2,"94.8","-0.4",35.7,21.4,71.4,"105.204397143","98.204585714",40.4,50.4
