"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","b_intent_walk","b_sac_fly","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Lee, Korey",686676,2025,26,15,17,5,3,2,0,0,3,2,17.6,11.8,".333",".467",".412","0.879","0.134",".417","0","0","0",".192",".267",".390",".257",".287",".075",".436",".248",".417",".240","68.6",4.3,10.5,8.7,36.8,30.4,"7",0,"83.3","15.7",25,0,25,"96.028701667","92.187861667",18.5,40.3
"Rivera, Emmanuel",656896,2025,29,26,28,9,7,2,0,0,6,2,21.4,7.1,".346",".423",".393","0.816","0.077",".450","0","0","0",".239",".312",".364",".270",".293",".073",".440",".308",".450",".310","69.1",3.8,8.1,5.8,32.4,23.1,"6.9",1,"86.4","9.2",40,5,30,"95.126602","91.563301",29.3,51.8
"Casas, Triston",671213,2025,25,99,112,18,12,3,0,3,27,11,24.1,9.8,".182",".303",".277","0.580","0.121",".217","2","2","0",".216",".409",".259",".308",".307",".193",".289",".362",".250",".297","75.1",54.2,17.7,12.1,27.7,18.9,"8",5,"87.6","15.1",34.7,9.7,44.4,"100.957485","94.540363056",31.1,48.5
"France, Ty",664034,2025,30,150,166,39,28,8,0,3,27,10,16.3,6,".260",".373",".325","0.698","0.113",".298","5","0","1",".284",".505",".314",".370",".351",".221",".334",".410",".315",".349","70.3",8.2,15.5,12.3,34.3,27.4,"7.4",7,"89.6","9.4",37.9,11.3,43.5,"100.684065484","94.747387642",23.2,51.2
"Rojas, Johan",679032,2025,24,74,84,21,17,2,1,1,24,6,28.6,7.1,".284",".378",".329","0.707","0.094",".392","0","0","2",".227",".304",".313",".261",".281",".076",".412",".332",".404",".328","70.1",9.8,12,8.9,27.2,20.3,"7.3",1,"89","6.6",24.1,3.7,38.9,"101.111604583","94.737746458",25.3,53.9
"Paris, Kyren",677347,2025,23,106,118,22,12,3,1,6,46,8,39,6.8,".208",".425",".282","0.707","0.217",".296","3","0","0",".204",".407",".311",".300",".279",".203",".477",".458",".367",".363","73.3",36.1,12.4,6.8,28.6,15.7,"7.4",0,"88.6","17.1",31.7,16.7,46.7,"101.101830333","95.071119661",42.9,51.2
"Dingler, Dillon",693307,2025,26,106,109,30,20,5,1,4,31,1,28.4,0.9,".283",".462",".303","0.765","0.179",".366","2","0","0",".274",".474",".333",".328",".294",".201",".456",".448",".400",".387","72.5",22.3,15.8,11.9,31.5,23.8,"7.8",2,"89.9","14.9",40,9.3,46.7,"101.237053421","94.9858116",26.2,51.8
"Handley, Maverick",668974,2025,27,9,12,1,1,0,0,0,4,0,33.3,0,".111",".111",".182","0.293","0.000",".167","1","0","0",".114",".188",".148",".190",".200",".074",".149",".226",".167",".200","65.8",0,0,0,33.3,22.2,"6.7",2,"82.2","6.9",14.3,0,14.3,"90.999056667","89.873611667",40,58.1
"Lopez, Nicky",670032,2025,30,18,22,1,1,0,0,0,3,4,13.6,18.2,".056",".056",".227","0.283","0.000",".067","0","0","0",".208",".245",".168",".289",".352",".037",".060",".237",".067",".250","67.7",0,11.1,9.7,29.6,25.8,"6.7",0,"84.1","-2.3",13.3,0,40,"95.9403575","92.247075333",11.1,43.4
"Sheets, Gavin",657757,2025,29,112,123,34,22,7,0,5,32,9,26,7.3,".304",".500",".358","0.858","0.196",".382","1","0","1",".279",".483",".374",".352",".336",".205",".481",".449",".420",".387","73.9",43.2,19.5,15,34,26.2,"7.8",8,"93.3","19",48.1,9.9,56.8,"102.11996175","96.0959055",27.4,45.8
"Grisham, Trent",663757,2025,28,98,112,27,15,1,1,10,20,13,17.9,11.6,".276",".612",".366","0.978","0.336",".250","1","0","0",".269",".577",".419",".398",".360",".309",".476",".445",".346",".338","71.3",13.5,16.7,14.1,40.9,34.6,"7.7",3,"91.7","21.4",33.3,15.4,47.4,"100.248871026","94.841193117",17.6,40.9
"Bohm, Alec",664761,2025,28,145,155,36,29,5,1,1,28,6,18.1,3.9,".248",".317",".290","0.607","0.069",".299","3","0","1",".276",".415",".273",".326",".321",".139",".305",".375",".305",".345","71.6",16.6,18.8,16.2,38.5,33.2,"7.3",4,"91.2","6.4",34.7,8.5,48.3,"100.989332203","95.174113248",15.9,47.6
"Keirsey Jr., DaShawn",680577,2025,28,31,31,3,3,0,0,0,9,0,29,0,".097",".097",".097","0.194","0.000",".136","0","0","0",".175",".219",".087",".172",".175",".043",".122",".242",".136",".247","68.9",5.7,4.9,3.8,31.7,24.5,"6.8",1,"87.2","-0.1",13.6,0,27.3,"97.35126","92.950274762",23.8,48.8
"Straw, Myles",664702,2025,30,67,73,19,15,3,0,1,13,3,17.8,4.1,".284",".373",".314","0.687","0.089",".340","0","0","0",".267",".381",".306",".297",".299",".114",".358",".347",".352",".332","65.8",0.9,10.4,9.1,38.5,33.6,"6.7",1,"87.2","10.5",22.8,5.3,26.3,"95.682127037","91.85217463",14.1,44.4
